Type,Theme,File,Name,Legend,Values,Color,Labels,Unit,Provenance,Order,Visible,Hidden,Goal
exclude,,E_REG_PrimaryRoads.tif,Major Highways,manual,"0, 1","#00000000, #d95f0e","included, excluded",km2,regional,,TRUE,FALSE,0.2
exclude,,E_REG_Urban.tif,Urban Areas,manual,"0, 1","#00000000, #d95f0e","included, excluded",km2,regional,,FALSE,FALSE,0.2
include,,I_Protected.tif,Existing Conservation (CPCAD),manual,"0, 1","#00000000, #7fbc41","not included, included",km2,national,,TRUE,FALSE,0.2
include,,I_REG_MilitaryBases.tif,Military Bases (OECM),manual,"0, 1","#00000000, #7fbc41","not included, included",km2,national,,TRUE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_1019.tif,Western Chorus Frog (Great Lakes / St. Lawrence - Canadian Shield population),manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_1022.tif,Eastern Foxsnake (Great Lakes / St. Lawrence population),manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_1047.tif,Eastern Whip-poor-will,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_1087.tif,Bobolink,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_1144.tif,Eastern Meadowlark,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_1145.tif,Hine's Emerald,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_1146.tif,Hungerford's Crawling Water Beetle,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_1173.tif,Little Brown Myotis,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_1174.tif,Tri-coloured Bat,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_1175.tif,Northern Myotis,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_1233.tif,Bank Swallow,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_217.tif,American Ginseng,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_221.tif,Goldenseal,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_248.tif,Eastern Prairie Fringed-orchid,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_277.tif,Massasauga,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,1,TRUE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_285.tif,Spotted Turtle,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_286.tif,Wood Turtle,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_46.tif,Cerulean Warbler,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_57.tif,Red-headed Woodpecker,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_585.tif,Queensnake,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_588.tif,Butler's Gartersnake,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_642.tif,Jefferson Salamander,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_686.tif,Piping Plover circumcinctus subspecies,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_705.tif,Lakeside Daisy,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_744.tif,Forked Three-awned Grass,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_807.tif,Hill's Thistle,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Critical Habitat (ECCC),T_ECCC_CH_COSEWICID_846.tif,Blanding's Turtle (Great Lakes / St. Lawrence population),manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1008.tif,Canada Warbler,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1019.tif,Western Chorus Frog (Great Lakes / St. Lawrence - Canadian Shield population),manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,1,TRUE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1022.tif,Eastern Foxsnake (Great Lakes / St. Lawrence population),manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1033.tif,Snapping Turtle,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1047.tif,Eastern Whip–poor–will,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1081.tif,Rusty–patched Bumble Bee,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1087.tif,Bobolink,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1142.tif,Macropis Cuckoo Bee,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1144.tif,Eastern Meadowlark,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1145.tif,Hine's Emerald,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1146.tif,Hungerford's Crawling Water Beetle,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1147.tif,Barn Swallow,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1197.tif,Wood Thrush,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1198.tif,Eastern Wood–pewee,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1212.tif,Mottled Duskywing (Great Lakes Plains population),manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1220.tif,Massasauga (Great Lakes population),manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1232.tif,Gypsy Cuckoo Bumble Bee,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1233.tif,Bank Swallow,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1241.tif,"Grasshopper Sparrow, pratensis subspecies",manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1265.tif,Loggerhead Shrike Eastern subspecies,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_180.tif,Gattinger's Agalinis,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_196.tif,Spotted Wintergreen,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_217.tif,American Ginseng,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_225.tif,Pitcher's Thistle,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_23.tif,Henslow's Sparrow,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_24.tif,King Rail,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_248.tif,Eastern Prairie Fringed–orchid,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_25.tif,Kirtland's Warbler,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_254.tif,Hill's Pondweed,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_256.tif,Tuberous Indian–plantain,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_26.tif,Loggerhead Shrike migrans subspecies,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,FALSE,0.2
